,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195
0,4,5,9,11,15,19,24,30,42,44,61,66,71,79,104,106,116,151,145,155,168,182,200,215,301,257,274,306,411,334,388,382,409,429,453,511
1,3,5,8,12,15,20,24,30,37,45,54,62,71,83,98,108,124,157,140,153,168,196,208,219,238,261,289,293,321,376,353,382,522,439,485,486
2,3,5,10,13,16,19,24,34,38,46,54,62,71,78,88,100,119,127,140,178,171,181,197,214,245,256,276,311,317,340,403,378,399,441,452,551
3,4,5,8,11,15,19,25,31,38,45,51,76,68,78,88,110,121,131,140,154,168,204,205,219,232,256,370,294,326,350,383,377,430,436,551,479
4,3,5,8,11,16,20,25,30,37,44,54,74,74,107,91,102,119,123,142,159,169,183,228,218,260,254,271,296,328,337,355,382,416,455,450,590
5,4,7,10,12,15,20,25,31,38,46,53,63,69,78,91,103,141,130,137,154,166,182,206,236,235,262,286,293,312,383,359,377,469,431,657,476
6,3,5,8,11,16,20,24,30,36,44,52,60,69,82,90,101,115,150,139,160,180,185,201,218,284,255,288,307,400,339,577,397,420,437,449,483
7,3,5,8,11,15,20,26,31,38,45,53,59,68,80,93,109,187,127,142,155,167,191,218,218,232,279,279,294,316,333,355,483,529,430,454,487
8,3,5,9,12,15,23,29,32,38,44,52,60,69,79,92,102,116,131,141,167,167,186,204,224,242,260,285,304,310,336,421,382,412,427,469,479
9,4,6,8,12,16,20,26,32,39,46,54,79,71,78,90,104,116,124,139,154,171,236,197,217,232,250,345,287,315,350,376,394,399,437,460,482
10,4,5,8,11,15,19,24,32,37,47,54,63,71,110,90,101,115,128,142,164,174,182,198,220,247,256,278,339,315,332,373,382,404,497,456,544
11,3,5,8,11,15,19,25,31,38,65,63,59,70,80,88,103,140,128,140,152,181,196,209,217,234,255,280,290,318,349,354,378,427,425,581,483
12,3,5,8,12,15,20,25,31,40,47,52,60,72,79,87,100,116,160,138,157,167,184,196,215,283,252,276,293,333,331,377,386,410,463,450,564
13,3,5,8,12,15,19,25,30,36,44,51,60,68,79,89,104,115,128,138,160,170,180,205,217,233,253,282,291,312,404,368,379,523,423,574,488
14,3,5,8,12,16,20,26,32,38,44,54,62,70,81,91,102,112,124,135,155,204,183,200,219,243,252,272,317,311,339,375,378,400,433,451,587
15,4,6,9,11,15,19,25,30,37,45,53,75,69,80,88,105,118,130,139,156,167,214,210,215,250,259,373,289,309,349,491,374,406,445,553,477
16,3,5,8,11,15,19,24,31,38,43,52,65,71,109,98,101,116,123,143,157,171,183,237,218,337,255,273,349,311,330,377,383,415,450,462,555
17,3,5,8,12,15,19,25,30,37,43,51,61,69,81,92,104,139,125,137,152,165,182,279,215,238,252,279,292,314,358,391,395,408,429,602,499
18,3,5,8,11,16,21,25,30,39,44,55,61,72,79,89,99,112,158,137,155,170,181,203,214,278,253,268,297,327,336,371,374,403,511,452,572
19,3,6,8,11,15,20,26,32,37,44,51,59,68,78,88,100,118,132,138,156,174,182,205,222,232,251,289,291,308,381,357,380,520,427,493,479
20,3,5,8,11,15,20,26,30,36,43,52,66,69,84,90,98,112,128,147,151,206,181,199,213,245,259,281,296,327,331,385,397,404,511,450,570
21,3,7,9,11,15,20,24,30,37,43,51,78,73,79,90,101,121,127,141,152,166,225,235,221,235,251,371,294,308,345,385,381,439,427,551,484
22,3,5,8,11,15,20,26,30,37,44,52,60,73,113,109,100,114,124,136,150,177,190,222,216,233,264,268,293,337,330,356,402,397,529,453,504
23,3,5,9,11,15,20,25,30,37,45,51,59,70,80,91,104,132,132,145,156,167,184,207,268,230,249,268,301,313,338,375,382,491,425,584,482
24,4,5,8,11,15,20,25,30,36,46,51,60,68,81,91,104,115,155,140,158,171,187,197,215,236,261,274,289,314,331,353,429,403,442,459,478
25,3,5,8,11,15,20,25,30,38,46,53,60,69,81,92,104,120,130,146,176,165,185,212,236,239,251,277,306,316,332,521,379,562,431,477,478
26,3,5,8,12,16,21,26,32,39,46,51,60,69,85,94,106,112,127,139,150,203,189,202,216,236,264,274,289,327,337,369,404,405,492,456,488
27,4,9,8,11,18,20,28,31,39,47,53,82,69,78,88,101,116,124,145,158,166,202,201,224,239,255,345,317,309,345,444,378,403,429,480,481
28,3,5,8,12,16,21,27,32,38,46,54,63,71,109,109,114,114,125,136,159,167,198,224,216,233,259,274,288,311,342,357,400,400,454,455,474
29,3,6,8,12,15,19,25,31,36,50,54,61,72,79,89,100,127,127,138,157,167,179,197,230,282,251,269,296,316,333,376,376,408,447,580,658
30,4,7,10,14,18,20,25,31,37,44,52,61,69,78,92,105,118,156,136,153,165,183,204,216,233,253,307,305,317,354,357,400,409,436,547,480
31,4,6,8,12,16,21,26,32,39,48,52,60,75,79,90,100,111,125,138,186,171,182,197,214,244,252,267,288,319,332,374,380,519,510,452,569
32,3,5,8,11,15,20,25,30,36,46,51,59,67,77,89,101,117,129,137,150,168,207,208,215,239,258,329,297,308,345,355,384,466,426,525,474
33,3,5,8,12,16,20,25,31,38,44,51,84,84,82,89,100,111,126,142,161,176,201,197,215,239,301,346,297,330,329,441,383,402,513,462,581
34,4,7,10,13,16,19,25,30,36,43,52,59,71,109,104,104,125,135,141,152,164,181,248,214,231,248,281,290,320,356,352,384,424,424,785,477
