size ,k, min, max, average
46, 10, 93, 445, 180 
46, 11, 93, 323, 189 
46, 12, 93, 315, 180 
46, 13, 93, 327, 180 
46, 14, 93, 365, 190 
46, 15, 93, 293, 182 
46, 16, 93, 309, 188 
46, 17, 93, 318, 188 
46, 18, 93, 332, 189 
46, 19, 93, 350, 194 
46, 20, 93, 297, 184 
46, 21, 93, 349, 193 
46, 22, 119, 293, 189 
46, 23, 93, 320, 193 
46, 24, 93, 300, 194 
46, 25, 93, 326, 195 
46, 26, 93, 346, 184 
46, 27, 93, 348, 190 
46, 28, 114, 308, 188 
46, 29, 93, 313, 188 
46, 30, 93, 276, 186 
46, 31, 93, 293, 189 
46, 32, 93, 272, 176 
46, 33, 93, 288, 182 
46, 34, 93, 302, 188 
46, 35, 107, 332, 181 
46, 36, 104, 293, 176 
46, 37, 93, 300, 171 
46, 38, 93, 295, 179 
46, 39, 93, 280, 169 
46, 40, 93, 317, 169 
46, 41, 93, 295, 159 
46, 42, 93, 285, 158 
46, 43, 93, 271, 152 
46, 44, 93, 251, 147 
46, 45, 93, 233, 128 
47, 0, 95, 240, 140 
47, 1, 95, 266, 146 
47, 2, 95, 253, 151 
47, 3, 95, 261, 158 
47, 4, 95, 271, 157 
47, 5, 95, 280, 164 
47, 6, 95, 322, 169 
47, 7, 95, 298, 169 
47, 8, 95, 327, 176 
47, 9, 95, 288, 168 
47, 10, 95, 313, 184 
47, 11, 95, 335, 187 
47, 12, 95, 303, 176 
47, 13, 95, 306, 179 
47, 14, 95, 267, 178 
47, 15, 95, 320, 191 
47, 16, 95, 293, 183 
47, 17, 95, 339, 196 
47, 18, 95, 334, 187 
47, 19, 95, 311, 188 
47, 20, 95, 294, 184 
47, 21, 95, 355, 198 
47, 22, 95, 319, 183 
47, 23, 95, 324, 193 
47, 24, 95, 326, 187 
47, 25, 95, 338, 184 
47, 26, 95, 329, 187 
47, 27, 122, 373, 188 
47, 28, 95, 284, 183 
47, 29, 95, 339, 182 
47, 30, 95, 354, 184 
47, 31, 95, 336, 179 
47, 32, 95, 296, 177 
47, 33, 95, 327, 176 
47, 34, 95, 333, 186 
47, 35, 95, 331, 172 
47, 36, 95, 310, 171 
47, 37, 95, 307, 176 
47, 38, 95, 282, 169 
47, 39, 95, 294, 170 
47, 40, 95, 287, 166 
47, 41, 95, 322, 162 
47, 42, 106, 250, 160 
47, 43, 95, 287, 146 
47, 44, 101, 297, 153 
47, 45, 95, 261, 142 
47, 46, 95, 259, 139 
48, 0, 97, 248, 148 
48, 1, 97, 299, 164 
48, 2, 97, 276, 160 
48, 3, 97, 321, 164 
48, 4, 97, 301, 172 
48, 5, 97, 260, 170 
48, 6, 97, 288, 170 
48, 7, 97, 296, 176 
48, 8, 97, 294, 185 
48, 9, 115, 324, 190 
48, 10, 97, 371, 183 
48, 11, 97, 308, 185 
48, 12, 97, 336, 191 
48, 13, 97, 339, 198 
48, 14, 97, 375, 192 
48, 15, 114, 312, 194 
48, 16, 97, 430, 196 
48, 17, 97, 365, 187 
48, 18, 123, 344, 197 
48, 19, 97, 356, 197 
48, 20, 97, 331, 191 
48, 21, 97, 320, 199 
48, 22, 97, 390, 216 
48, 23, 97, 344, 198 
48, 24, 97, 321, 200 
48, 25, 97, 346, 204 
48, 26, 97, 323, 202 
48, 27, 97, 357, 197 
48, 28, 122, 331, 204 
48, 29, 97, 385, 207 
48, 30, 97, 380, 194 
48, 31, 97, 312, 200 
48, 32, 97, 307, 196 
48, 33, 97, 402, 199 
48, 34, 97, 296, 192 
48, 35, 97, 272, 182 
48, 36, 97, 352, 191 
48, 37, 97, 349, 190 
48, 38, 97, 337, 191 
48, 39, 97, 357, 185 
48, 40, 97, 417, 182 
48, 41, 97, 343, 172 
48, 42, 97, 313, 171 
48, 43, 97, 263, 164 
48, 44, 97, 280, 166 
48, 45, 97, 268, 149 
48, 46, 97, 267, 140 
48, 47, 97, 247, 132 
49, 0, 99, 263, 140 
49, 1, 99, 286, 147 
49, 2, 99, 290, 151 
49, 3, 99, 239, 157 
49, 4, 99, 325, 167 
49, 5, 99, 337, 160 
49, 6, 112, 272, 165 
49, 7, 99, 287, 161 
49, 8, 112, 291, 174 
49, 9, 112, 351, 179 
49, 10, 99, 312, 176 
49, 11, 99, 299, 173 
49, 12, 99, 308, 177 
49, 13, 99, 297, 184 
49, 14, 99, 311, 187 
49, 15, 99, 311, 191 
49, 16, 99, 330, 188 
49, 17, 99, 329, 198 
49, 18, 128, 322, 199 
49, 19, 99, 325, 195 
49, 20, 124, 343, 206 
49, 21, 99, 324, 199 
49, 22, 99, 315, 192 
49, 23, 99, 350, 200 
49, 24, 99, 330, 195 
49, 25, 130, 342, 204 
49, 26, 99, 416, 204 
49, 27, 99, 353, 210 
49, 28, 99, 340, 200 
49, 29, 132, 363, 199 
49, 30, 99, 302, 194 
49, 31, 99, 334, 193 
49, 32, 99, 389, 198 
49, 33, 99, 303, 196 
49, 34, 99, 310, 197 
49, 35, 99, 337, 182 
49, 36, 99, 351, 198 
49, 37, 99, 354, 190 
49, 38, 99, 309, 186 
49, 39, 99, 334, 182 
49, 40, 99, 298, 189 
49, 41, 99, 301, 176 
49, 42, 99, 268, 177 
49, 43, 99, 294, 174 
49, 44, 105, 279, 166 
49, 45, 99, 296, 158 
49, 46, 99, 290, 161 
49, 47, 103, 281, 156 
49, 48, 99, 280, 159 
50, 0, 101, 316, 152 
50, 1, 101, 270, 158 
50, 2, 101, 286, 163 
50, 3, 101, 265, 163 
50, 4, 101, 292, 168 
50, 5, 101, 322, 172 
50, 6, 101, 336, 179 
50, 7, 101, 332, 187 
50, 8, 101, 296, 175 
50, 9, 101, 304, 182 
50, 10, 101, 350, 188 
50, 11, 101, 353, 188 
50, 12, 101, 331, 196 
50, 13, 101, 339, 190 
50, 14, 120, 341, 191 
50, 15, 120, 352, 205 
50, 16, 101, 377, 199 
50, 17, 101, 382, 198 
50, 18, 101, 381, 195 
50, 19, 101, 370, 205 
50, 20, 101, 332, 201 
50, 21, 101, 332, 208 
50, 22, 101, 353, 194 
50, 23, 101, 362, 202 
50, 24, 101, 299, 187 
50, 25, 101, 307, 193 
50, 26, 101, 373, 206 
50, 27, 101, 366, 189 
50, 28, 101, 357, 192 
50, 29, 101, 327, 202 
50, 30, 101, 375, 198 
50, 31, 101, 337, 195 
50, 32, 101, 390, 198 
50, 33, 101, 297, 188 
50, 34, 101, 309, 182 
50, 35, 101, 354, 194 
50, 36, 101, 324, 190 
50, 37, 101, 381, 192 
50, 38, 101, 425, 187 
50, 39, 101, 303, 184 
50, 40, 101, 295, 179 
50, 41, 101, 279, 174 
50, 42, 101, 301, 178 
50, 43, 101, 323, 167 
50, 44, 101, 362, 179 
50, 45, 101, 283, 167 
50, 46, 101, 312, 159 
50, 47, 101, 272, 160 
50, 48, 101, 279, 155 
50, 49, 101, 281, 148 
